Borough,Days Needed to Resolve Complaint,Community Board,Descriptor,Action Taken,Open Data Channel Type
BRONX,2,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,08 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,08 BRONX,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
BROOKLYN,5,06 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,3,10 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,6,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,3,12 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,0,14 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,3,18 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
MANHATTAN,1,04 MANHATTAN,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
MANHATTAN,2,10 MANHATTAN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,1,01 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,01 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,2,01 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,3,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,3,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,02 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,5,02 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,03 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,2,05 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,3,05 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,2,05 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,05 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,3,06 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,3,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,8,07 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,08 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,3,09 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,10 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,10 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,2,11 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,11 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,3,11 QUEENS,E9 Snow / Icy Sidewalk,Action Taken,PHONE
QUEENS,3,12 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,12 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,3,13 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,14 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,0,04 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,0,11 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,0,11 BRONX,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BROOKLYN,11,07 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,2,10 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BROOKLYN,2,15 BROOKLYN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BROOKLYN,2,15 BROOKLYN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
MANHATTAN,5,02 MANHATTAN,E9 Snow / Icy Sidewalk,Action Taken,PHONE
MANHATTAN,2,08 MANHATTAN,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,05 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,1,08 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,10 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,12 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,12 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,5,13 QUEENS,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
QUEENS,0,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,11 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,14 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
QUEENS,0,14 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,01 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,3,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,3,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,3,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,3,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,02 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,1,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,02 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,1,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,2,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,02 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,No Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,3,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,2,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,3,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,No Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15I Street Condition Ice-Non Storm,Action Taken,PHONE
STATEN ISLAND,2,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,1,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
STATEN ISLAND,0,03 STATEN ISLAND,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,07 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,1,07 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
QUEENS,0,13 QUEENS,15S Re-Plow/Spread/Ice-Snow Cond.,Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,0,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,0,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,4,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
BRONX,3,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,3,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,1,12 BRONX,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
BRONX,2,12 BRONX,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,10,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,10,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,10,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,6,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,7,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,9,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,10,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,9,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,9,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,7,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,6,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,3,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,10,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,9,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,7,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,1,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,3,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,4,01 STATEN ISLAND,E9 Snow / Icy Sidewalk,Action Taken,PHONE
STATEN ISLAND,10,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,8,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,12,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,9,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
STATEN ISLAND,5,02 STATEN ISLAND,E9 Snow / Icy Sidewalk,No Action Taken,PHONE
